BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,Id
3,SHEEPSHEAD BAY,01 ONE FAMILY DWELLINGS                    ,1,8800,92, ,A2,18 STANTON ROAD, ,11235,1,0,1,1320,608,1920,232914,45955
1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1506,3, ,D4,"1133 FIFTH AVENUE, 14", ,10128,0,0,0, -  , -  ,1928,14500000,13739
4,FLUSHING-NORTH,13 CONDOS - ELEVATOR APARTMENTS            ,2,5137,1776, ,R4,42-31 COLDEN STREET,R6C,11355,1,0,1, -  , -  ,0,480000,58688
3,OCEAN HILL,02 TWO FAMILY DWELLINGS                    ,1,1514,27, ,B1,382 CHAUNCEY STREET, ,11233,2,0,2,1500,2200,1910,900000,42899
3,BUSHWICK,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,3305,1004, ,R1,328 CENTRAL AVENUE,2B,11221,1,0,1,0,0,2015,559019,32037
1,MIDTOWN EAST,10 COOPS - ELEVATOR APARTMENTS             ,2,1371,38, ,D4,"25 SUTTON PLACE SOUTH, 17-O", ,10022,0,0,0, -  , -  ,1959,1400000,8210
3,CANARSIE,04 TAX CLASS 1 CONDOS                      ,1A,8273,1255, ,R3,10804 FLATLANDS 9TH STREET,13C,11236,1,0,1,0,0,0,280000,32800
3,SHEEPSHEAD BAY,10 COOPS - ELEVATOR APARTMENTS             ,2,7440,20, ,D4,"2940 OCEAN AVENUE, B1", ,11235,0,0,0,0,0,1930,245000,46402
3,DOWNTOWN-FULTON FERRY,13 CONDOS - ELEVATOR APARTMENTS            ,2,51,1001, ,R4,84 FRONT STREET,2A,11201,1,0,1,0,0,2003,860000,35331
5,MANOR HEIGHTS,02 TWO FAMILY DWELLINGS                    ,1,804,165, ,B1,375 MOUNTAINVIEW AVENUE, ,10314,2,0,2,7750,2360,1970,820000,79497
2,WAKEFIELD,02 TWO FAMILY DWELLINGS                    ,1,5112,40, ,B1,730 ST OUEN STREET, ,10470,2,0,2,1995,2824,1965,503000,24621
1,UPPER EAST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS            ,2,1552,1347, ,R4,389 EAST 89TH   STREET,9B,10128,1,0,1, -  , -  ,2002,1015908,14741
4,RICHMOND HILL,02 TWO FAMILY DWELLINGS                    ,1,9460,21, ,B3,97-26 121ST   STREET, ,11419,2,0,2,2875,1888,1920,624000,70406
5,SOUTH BEACH,01 ONE FAMILY DWELLINGS                    ,1,3401,1, ,S1,36 OLYMPIA BOULEVARD, ,10305,1,1,2,2440,2800,1930,138800,82786
4,KEW GARDENS,10 COOPS - ELEVATOR APARTMENTS             ,2,3355,129, ,D4,"83-52 TALBOT STREET, 3C", ,11415,0,0,0, -  , -  ,1933,198000,65335
3,GREENPOINT,29 COMMERCIAL GARAGES                      ,4,2840,18, ,G1,19 DIVISION PLACE, ,11222,0,6,6,2687,1890,1920,2000000,41025
4,QUEENS VILLAGE,01 ONE FAMILY DWELLINGS                    ,1,10641,91, ,A1,91-01 215 PLACE, ,11428,1,0,1,3500,1120,1920,485000,68702
2,SOUNDVIEW,02 TWO FAMILY DWELLINGS                    ,1,3711,23, ,B1,1046 COLGATE AVENUE, ,10472,2,0,2,2142,1614,1955,540000,23743
4,BAYSIDE,09 COOPS - WALKUP APARTMENTS               ,2,5784,1, ,C6,"201-08 19TH AVENUE, 1-47", ,11357,0,0,0, -  , -  ,1952,165000,51569
4,FLUSHING-SOUTH,01 ONE FAMILY DWELLINGS                    ,1,6666,50, ,A5,144-27 76TH   ROAD, ,11367,1,0,1,1800,1224,1940,680000,59239
3,CANARSIE,01 ONE FAMILY DWELLINGS                    ,1,8146,17, ,A9,949 E 96TH ST, ,11236,1,0,1,2000,520,1925,429000,32195
1,UPPER EAST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS            ,2,1569,1416, ,R4,400 EAST 90TH   STREET,20D,10128,1,0,1, -  , -  ,0,10,14865
1,UPPER WEST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1170,23, ,D4,"215 WEST 78TH STREET, 6/7D", ,10024,0,0,0, -  , -  ,1926,3420000,15438
4,SO. JAMAICA-BAISLEY PARK,01 ONE FAMILY DWELLINGS                    ,1,12079,17, ,A0,130-19 143RD   STREET, ,11436,1,0,1,4050,960,1955,400000,71838
4,LITTLE NECK,01 ONE FAMILY DWELLINGS                    ,1,8128,31, ,A2,41-15 249TH   STREET, ,11363,1,0,1,5130,1160,1955,853000,65877
1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1497,28, ,D4,"45 EAST 85TH STREET, 5B", ,10028,0,0,0, -  , -  ,1925,3324000,13631
4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS                    ,1,5458,3, ,A1,46-55 159TH   STREET, ,11358,1,0,1,4000,1560,1930,860000,56453
4,FLUSHING-NORTH,02 TWO FAMILY DWELLINGS                    ,1,6369,95, ,B1,134-02 59TH AVENUE, ,11355,2,0,2,2500,2184,1999,890000,57118
1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,629,1219, ,R4,345 WEST 13TH   STREET,2H,10014,1,0,1, -  , -  ,0,4295000,4640
1,MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS            ,2,1846,1222, ,R4,301 CATHEDRAL PKY,16J,10026,1,0,1, -  , -  ,1989,886500,7249
4,GLENDALE,01 ONE FAMILY DWELLINGS                    ,1,3662,21, ,A1,70-01 71ST   STREET, ,11385,1,0,1,2500,1264,1930,400000,61644
2,COUNTRY CLUB,01 ONE FAMILY DWELLINGS                    ,1,5409,438, ,A1,3391-01 COUNTRY CLUB ROAD, ,10465,1,0,1,4180,2500,1987,860000,19745
4,MIDDLE VILLAGE,04 TAX CLASS 1 CONDOS                      ,1A,2813,1025, ,R3,57-45 74TH   STREET,305,11379,1,0,1, -  , -  ,1978,335000,67532
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS            ,2,84,1086, ,R4,140 WEST STREET,15G,10007,1,0,1, -  , -  ,1930,3950000,11327
1,UPPER EAST SIDE (59-79),09 COOPS - WALKUP APARTMENTS               ,2,1473,20, ,C6,"445 E. 78TH ST, 2B", ,10075,0,0,0, -  , -  ,1910,325000,11800
3,OCEAN PARKWAY-NORTH,10 COOPS - ELEVATOR APARTMENTS             ,2,6503,30, ,D4,"820 OCEAN PARKWAY, 207", ,11230,0,0,0,0,0,1961,579000,43653
2,BAYCHESTER,03 THREE FAMILY DWELLINGS                  ,1,4923,2, ,C0,3572 PALMER AVENUE, ,10466,3,0,3,4125,3178,1989,675000,18724
4,HOLLISWOOD,01 ONE FAMILY DWELLINGS                    ,1,10499,118, ,A1,188-15 87TH DRIVE, ,11423,1,0,1,3520,1625,1930,760000,62836
4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS                    ,1,12129,15, ,B1,151-10 133RD   AVENUE, ,11434,2,0,2,6400,1413,1950,590000,73688
1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1529,45, ,D4,"200 EAST 84TH STREET, 10C", ,10028,0,0,0, -  , -  ,1961,1650000,14007
1,HARLEM-CENTRAL,08 RENTALS - ELEVATOR APARTMENTS           ,2,2051,31, ,D1,656 ST. NICHOLAS AVENUE, ,10030,30,0,30,5000,20640,1920,10000000,5010
4,SOUTH OZONE PARK,01 ONE FAMILY DWELLINGS                    ,1,11661,131, ,A5,114-54 VAN WYCK EXPWY SR W, ,11420,1,0,1,1600,1477,1930,375000,72925
4,WOODHAVEN,02 TWO FAMILY DWELLINGS                    ,1,8894,98, ,B1,88-37 ELDERT LANE, ,11421,2,0,2,1618,2120,1899,865000,75500
5,CLOVE LAKES,01 ONE FAMILY DWELLINGS                    ,1,286,87, ,A1,23 JONES PLACE, ,10310,1,0,1,2668,1563,1930,569000,77259
1,UPPER WEST SIDE (96-116),10 COOPS - ELEVATOR APARTMENTS             ,2,1851,16, ,D4,"125 WEST 96TH STREET, 3C", ,10025,0,0,0, -  , -  ,1920,440000,17555
3,FLATBUSH-NORTH,07 RENTALS - WALKUP APARTMENTS             ,2A,4613,24, ,C3,126 EAST 95TH STREET,4,11212,4,0,4,2500,3198,1930,860000,38976
3,BEDFORD STUYVESANT,12 CONDOS - WALKUP APARTMENTS              ,2,1953,1127, ,R2,146 CLIFTON PLACE,2A,11238,1,0,1,0,0,2010,762000,27505
4,KEW GARDENS,10 COOPS - ELEVATOR APARTMENTS             ,2,3338,30, ,D4,"83-40 AUSTIN STREET, 2P", ,11415,0,0,0, -  , -  ,1956,10,65324
3,BAY RIDGE,10 COOPS - ELEVATOR APARTMENTS             ,2,5858,30, ,D4,"760 67 STREET, #1F", ,11220,0,0,0,0,0,1938,110000,26147
4,SOUTH OZONE PARK,02 TWO FAMILY DWELLINGS                    ,1,11739,39, ,B3,133-02 LEFFERTS BOULEVARD, ,11420,2,0,2,2850,1232,1930,630000,73260
5,CLOVE LAKES,02 TWO FAMILY DWELLINGS                    ,1,304,21, ,B1,28 COUGHLAN AVENUE, ,10310,2,0,2,10000,1743,1950,800000,77314
5,CLOVE LAKES,10 COOPS - ELEVATOR APARTMENTS             ,2,327,15, ,D4,"1000 CLOVE ROAD, 5J", ,10301,0,0,0, -  , -  ,1966,165000,77331
1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1512,25, ,D4,"151 EAST 83 STREET, 2A", ,10028,0,0,0, -  , -  ,1929,1230000,13825
4,SOUTH JAMAICA,02 TWO FAMILY DWELLINGS                    ,1,10335,66, ,B1,106-53 RUSCOE STREET, ,11433,2,0,2,2500,1600,1930,395000,72669
4,LITTLE NECK,01 ONE FAMILY DWELLINGS                    ,1,8351,16, ,A1,58-43 255TH   STREET, ,11362,1,0,1,4802,1600,1950,1272812,65953
3,DOWNTOWN-FULTON FERRY,44 CONDO PARKING                           ,4,31,1276, ,RG,205 WATER STREET,P11,11201,0,0,1,0,0,2010,128808,35399
2,THROGS NECK,01 ONE FAMILY DWELLINGS                    ,1,5592,122, ,A5,2832 COLLIS PLACE, ,10465,1,0,1,1746,1728,1950,482500,24219
2,MORRIS PARK/VAN NEST,01 ONE FAMILY DWELLINGS                    ,1,4100,49, ,A1,1630 HONE AVENUE, ,10461,1,0,1,2500,1426,1920,547000,21035
4,LAURELTON,01 ONE FAMILY DWELLINGS                    ,1,13119,28, ,A5,135-13 224TH, ,11413,1,0,1,1225,960,1950,435000,65654
3,BEDFORD STUYVESANT,04 TAX CLASS 1 CONDOS                      ,1A,1735,1010, ,R3,114 WALWORTH STREET,A4,11205,1,0,1,0,0,2007,390000,27241
3,BUSHWICK,02 TWO FAMILY DWELLINGS                    ,1,3437,57, ,B2,297A COOPER STREET, ,11237,2,0,2,1667,1368,1901,640000,31639
3,SHEEPSHEAD BAY,10 COOPS - ELEVATOR APARTMENTS             ,2,8804,42, ,D4,"2800 COYLE ST, 504", ,11235,0,0,0,0,0,1961,319410,46514
2,HIGHBRIDGE/MORRIS HEIGHTS,07 RENTALS - WALKUP APARTMENTS             ,2,2866,20, ,C1,1631 GRAND AVENUE, ,10453,42,0,42,9900,46800,1929,6990000,20288
4,FLUSHING-SOUTH,02 TWO FAMILY DWELLINGS                    ,1,6840,23, ,B3,78-02 162ND   STREET, ,11366,2,0,2,3000,1214,1925,300000,59515
4,ELMHURST,03 THREE FAMILY DWELLINGS                  ,1,1524,14, ,C0,42-16 79TH STREET, ,11373,3,0,3,2000,2206,1901,1170000,54905
1,UPPER WEST SIDE (59-79),17 CONDO COOPS                             ,2,1158,1007, ,R9,"160 WEST END AVENUE, 28U", ,10023,0,0,0, -  , -  ,1963,765000,16283
4,BAYSIDE,01 ONE FAMILY DWELLINGS                    ,1,7334,12, ,A5,45-14 215 PLACE, ,11361,1,0,1,2017,1448,1930,760000,51107
2,COUNTRY CLUB,02 TWO FAMILY DWELLINGS                    ,1,5342,34, ,B1,3122 WATERBURY AVENUE, ,10465,2,0,2,2550,1960,1960,430000,19808
1,MIDTOWN EAST,10 COOPS - ELEVATOR APARTMENTS             ,2,1366,16, ,D4,"420 EAST 55 STREET, 9E", ,10022,0,0,0, -  , -  ,1956,930000,8069
4,MASPETH,02 TWO FAMILY DWELLINGS                    ,1,2727,19, ,B2,60-76 FLUSHING AVENUE, ,11378,2,0,2,1960,1760,1940,400000,66923
2,PELHAM PARKWAY NORTH,01 ONE FAMILY DWELLINGS                    ,1,4454,10, ,A1,2414 YATES AVENUE, ,10469,1,0,1,10000,3305,1935,800000,22432
1,GREENWICH VILLAGE-WEST,10 COOPS - ELEVATOR APARTMENTS             ,2,642,42, ,D4,92 HORATIO, ,10014,0,0,0, -  , -  ,1920,595000,4462
1,GREENWICH VILLAGE-WEST,17 CONDO COOPS                             ,2,584,1002, ,R9,"65 MORTON STREET, 3H", ,10014,0,0,0, -  , -  ,1925,850000,4747
1,ALPHABET CITY,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,406,1104, ,R1,525 EAST 12TH STREET,4A,10009,1,0,1, -  , -  ,2007,1875000,186
1,LOWER EAST SIDE,10 COOPS - ELEVATOR APARTMENTS             ,2,331,1, ,D4,"504 GRAND ST, A44", ,10002,0,0,0, -  , -  ,1929,1230000,6901
5,GREAT KILLS,02 TWO FAMILY DWELLINGS                    ,1,5299,92, ,B9,50 PERONA LANE, ,10308,2,0,2,2280,2290,2006,600000,78884
2,THROGS NECK,01 ONE FAMILY DWELLINGS                    ,1,5502,15, ,A2,389 PENNYFIELD AVENUE, ,10465,1,0,1,2500,672,1940,380000,24121
1,UPPER WEST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS            ,2,1247,1043, ,R4,340 WEST 86TH   STREET,8D,10024,1,0,1, -  , -  ,1950,1610000,17422
2,CASTLE HILL/UNIONPORT,02 TWO FAMILY DWELLINGS                    ,1,3614,51, ,B3,2246 VIRGIL PLACE, ,10473,2,0,2,2250,1674,1915,405000,19510
1,UPPER WEST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1125,24, ,D4,"15 WEST 72ND   STREET, 15U", ,10023,0,0,0, -  , -  ,1964,619000,15270
4,JACKSON HEIGHTS,10 COOPS - ELEVATOR APARTMENTS             ,2,1261,1, ,D4,"34-10 75TH STREET, 4J", ,11372,0,0,0, -  , -  ,1952,140000,64021
4,WOODSIDE,10 COOPS - ELEVATOR APARTMENTS             ,2,1111,1, ,D4,"56-05 31ST AVENUE, 2N", ,11377,0,0,0, -  , -  ,1935,365000,75931
3,DOWNTOWN-FULTON FERRY,13 CONDOS - ELEVATOR APARTMENTS            ,2,53,1113, ,R4,100 JAY STREET,14F,11201,1,0,1,0,0,0,1749000,35364
3,WILLIAMSBURG-EAST,12 CONDOS - WALKUP APARTMENTS              ,2,2744,1228, ,R2,145 JACKSON STREET,2B,11211,1,0,1,0,0,2006,800000,47990
1,MURRAY HILL,10 COOPS - ELEVATOR APARTMENTS             ,2,916,61, ,D4,"200 EAST 36TH STREET, 11J", ,10016,0,0,0, -  , -  ,1955,407000,10152
1,GRAMERCY,07 RENTALS - WALKUP APARTMENTS             ,2B,896,20, ,C7,241 EAST 14TH STREET, ,10003,9,1,10,2633,8689,1910,10,3070
1,HARLEM-EAST,09 COOPS - WALKUP APARTMENTS               ,2,1624,44, ,C6,"154 EAST 97TH STREET, 12", ,10029,0,0,0, -  , -  ,1930,218000,5807
5,NEW BRIGHTON,02 TWO FAMILY DWELLINGS                    ,1,103,37, ,S2,454 JERSEY STREET, ,10301,2,1,3,2500,1782,1899,205000,80217
2,RIVERDALE,10 COOPS - ELEVATOR APARTMENTS             ,2,5953,240, ,D4,"5900 ARLINGTON AVENUE, 15F", ,10471,0,0,0,0,0,1962,245000,23219
4,OAKLAND GARDENS,12 CONDOS - WALKUP APARTMENTS              ,2,7674,1157, ,R2,67-63 CLOVERDALE LANE,157,11364,1,0,1, -  , -  ,1949,405000,68033
3,BENSONHURST,02 TWO FAMILY DWELLINGS                    ,1,6170,45, ,B1,7012 17TH AVE, ,11204,2,0,2,2500,2400,1930,1450000,28030
1,UPPER EAST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS            ,2,1539,1550, ,R4,200 EAST 94TH   STREET,2509,10128,1,0,1, -  , -  ,1986,2911744,14633
4,BAYSIDE,04 TAX CLASS 1 CONDOS                      ,1A,5843,1199, ,R3,13-28 ROBIN LANE,1A,11360,1,0,1, -  , -  ,1985,465000,51494
1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS            ,2,742,1014, ,R4,305 WEST 18TH STREET,2C,10011,1,0,1, -  , -  ,1950,882000,635
3,SHEEPSHEAD BAY,04 TAX CLASS 1 CONDOS                      ,1A,8804,1101, ,R3,2838 COYLE STREET,1N,11235,1,0,1,0,0,2004,465000,46244
1,UPPER WEST SIDE (96-116),10 COOPS - ELEVATOR APARTMENTS             ,2,1894,36, ,D4,"611 WEST 111TH, 56", ,10025,0,0,0, -  , -  ,1900,1320000,17709
1,EAST VILLAGE,02 TWO FAMILY DWELLINGS                    ,1,467,53, ,B9,217 EAST 11TH   STREET, ,10003,2,0,2,1275,2640,1899,4000000,1794
1,HARLEM-CENTRAL,13 CONDOS - ELEVATOR APARTMENTS            ,2,1916,1252, ,R4,171 WEST 131 STREET,416,10027,1,0,1, -  , -  ,2013,676118,5323
3,EAST NEW YORK,02 TWO FAMILY DWELLINGS                    ,1,4170,1, ,S2,403 CRESCENT STREET, ,11208,2,1,3,1700,3120,1910,505000,36551
4,HILLCREST,01 ONE FAMILY DWELLINGS                    ,1,7045,28, ,A5,82-57 165TH   STREET, ,11432,1,0,1,2000,1360,1930,600000,62185
3,WILLIAMSBURG-NORTH,13 CONDOS - ELEVATOR APARTMENTS            ,2,2297,1106, ,R4,125 NORTH 10TH STREET,SGF,11249,1,0,1,0,0,2007,900000,48332
4,ARVERNE,01 ONE FAMILY DWELLINGS                    ,1,16078,45, ,A2,314 BEACH 74 STREET, ,11692,1,0,1,3000,796,1920,333000,49448
3,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS                    ,1,4975,79, ,A9,1321 ALBANY AVENUE, ,11203,1,0,1,2000,1280,1930,420000,37852
3,BOERUM HILL,07 RENTALS - WALKUP APARTMENTS             ,2A,190,45, ,C3,233 DEAN STREET, ,11217,4,0,4,2100,3780,1920,3295000,28744
3,BENSONHURST,02 TWO FAMILY DWELLINGS                    ,1,5564,22, ,B3,2128 66TH STREET, ,11204,2,0,2,2400,1608,1915,999000,27993
4,JACKSON HEIGHTS,02 TWO FAMILY DWELLINGS                    ,1,1048,63, ,B1,25-21 71ST   STREET, ,11370,2,0,2,2200,1936,1955,788000,63669
1,JAVITS CENTER,10 COOPS - ELEVATOR APARTMENTS             ,2,731,60, ,D4,"430 WEST 34 STREET, 10D", ,10001,0,0,0, -  , -  ,1963,645000,6300
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1416,1060, ,R4,200 EAST 62ND   STREET,16A,10065,1,0,1, -  , -  ,1967,3375000,12872
1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1473,18, ,D4,"440 EAST 79TH STREET, 6C", ,10075,0,0,0, -  , -  ,1956,849000,12660
4,OAKLAND GARDENS,04 TAX CLASS 1 CONDOS                      ,1A,7621,1269, ,R3,219-56 64TH   AVENUE, ,11364,1,0,1, -  , -  ,0,423000,67753
3,BUSHWICK,03 THREE FAMILY DWELLINGS                  ,1,3380,18, ,C0,22 CORNELIA STREET, ,11221,3,0,3,2000,3900,2005,950000,31745
4,BAYSIDE,01 ONE FAMILY DWELLINGS                    ,1,5990,60, ,A2,208-31 30TH   AVENUE, ,11360,1,0,1,4100,2135,1960,910000,50883
3,BRIGHTON BEACH,02 TWO FAMILY DWELLINGS                    ,1,8711,98, ,B9,59 BRIGHTON 11 STREET, ,11235,2,0,2,2200,1831,1940,660000,30199
5,MARINERS HARBOR,01 ONE FAMILY DWELLINGS                    ,1,1200,111, ,A9,370 VAN NAME AVENUE, ,10303,1,0,1,4439,1280,1965,355000,79583
2,WESTCHESTER,02 TWO FAMILY DWELLINGS                    ,1,3995,54, ,B2,2429 MACLAY AVENUE, ,10461,2,0,2,2527,2720,1910,489000,24758
3,WILLIAMSBURG-EAST,01 ONE FAMILY DWELLINGS                    ,1,2913,20, ,A9,52 SHARON STREET, ,11211,1,0,1,2000,1386,1955,1200000,47828
5,BULLS HEAD,04 TAX CLASS 1 CONDOS                      ,1A,1495,1045, ,R3,16A LEO STREET, ,10314,1,0,1, -  , -  ,1986,305000,77007
3,CANARSIE,02 TWO FAMILY DWELLINGS                    ,1,8245,27, ,B1,1131 EAST 99TH STREET, ,11236,2,0,2,2008,1642,1955,430000,32610
1,MIDTOWN EAST,13 CONDOS - ELEVATOR APARTMENTS            ,2,1344,1292, ,R4,305 EAST 51ST STREET,RU20A,10022,1,0,1, -  , -  ,2007,3640622,8515
1,MIDTOWN WEST,13 CONDOS - ELEVATOR APARTMENTS            , ,1042,1607, , ,318-322 WEST 52ND   STREET, ,0,0,0,0, -  , -  ,0,915406,9335
4,HOLLIS,01 ONE FAMILY DWELLINGS                    ,1,10863,18, ,A1,100-24 197TH   STREET, ,11423,1,0,1,4000,1816,1925,365000,62525
3,MIDWOOD,02 TWO FAMILY DWELLINGS                    ,1,6761,82, ,B2,1523 EAST 14TH   STREET, ,11230,2,0,2,3000,2638,1920,1575000,42384
2,MOTT HAVEN/PORT MORRIS,02 TWO FAMILY DWELLINGS                    ,1,2280,71, ,S2,419 EAST 135 STREET, ,10454,2,1,3,2500,2310,1901,483668,21669
4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS                    ,1,5965,34, ,A5,28-31 172ND   STREET, ,11358,1,0,1,2000,1504,1940,846000,56674
2,WILLIAMSBRIDGE,02 TWO FAMILY DWELLINGS                    ,1,4663,26, ,B1,722 EAST 216 STREET, ,10467,2,0,2,5637,1792,1901,380000,24937
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6517,39, ,A9,30 ARBUTUS WAY, ,10312,1,0,1,13150,3600,1985,1150000,76244
3,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS                  ,1,1802,73, ,C0,221 QUINCY STREET, ,11216,3,0,3,2000,3114,2007,1265000,27141
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1484,1248, ,R4,515 EAST 72ND   STREET,24A,10021,1,0,1, -  , -  ,1985,750000,13152
3,CLINTON HILL,13 CONDOS - ELEVATOR APARTMENTS            ,2,2011,1124, ,R4,500 WAVERLY AVENUE,4E,11238,1,0,1,0,0,2015,804417,33401
4,FOREST HILLS,01 ONE FAMILY DWELLINGS                    ,1,3243,24, ,A1,71-50 KESSEL STREET, ,11375,1,0,1,4000,1727,1935,1450000,60186
4,WOODHAVEN,02 TWO FAMILY DWELLINGS                    ,1,8898,30, ,B1,7411 87TH ROAD, ,11421,2,0,2,2000,3192,1901,790000,75505
5,OAKWOOD-BEACH,02 TWO FAMILY DWELLINGS                    ,1,4728,28, ,B2,64 GRAYSON STREET, ,10306,2,0,2,4500,1936,1970,505000,81434
4,CAMBRIA HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,12770,81, ,A2,118-56 234TH STREET, ,11411,1,0,1,3800,1338,1945,450000,52890
3,CYPRESS HILLS,02 TWO FAMILY DWELLINGS                    ,1,4133,42, ,B1,200 LINCOLN AVENUE, ,11208,2,0,2,1750,2160,1899,570000,35003
1,HARLEM-CENTRAL,13 CONDOS - ELEVATOR APARTMENTS            ,2,1959,1072, ,R4,300 WEST 135TH STREET,4G,10030,1,0,1, -  , -  ,2003,797000,5437
1,CIVIC CENTER,13 CONDOS - ELEVATOR APARTMENTS            , ,135,1809, , ,12 WARREN STREET, ,0,0,0,0, -  , -  ,0,5250000,1277
4,BRIARWOOD,10 COOPS - ELEVATOR APARTMENTS             ,2,9714,152, ,D4,"141-60 84TH ROAD, 3K", ,11435,0,0,0, -  , -  ,1955,155000,52666
5,WILLOWBROOK,01 ONE FAMILY DWELLINGS                    ,1,776,6, ,A5,11 FILLMORE AVENUE, ,10314,1,0,1,2600,1568,1980,630000,84220
1,FINANCIAL,13 CONDOS - ELEVATOR APARTMENTS            ,2,17,1239, ,R4,50 WEST STREET,14A,10006,1,0,1, -  , -  ,2014,1613926,2149
4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS                    ,1,5627,18, ,A0,48-19 192ND   STREET, ,11365,1,0,1,5000,1638,1945,10,56577
4,RICHMOND HILL,01 ONE FAMILY DWELLINGS                    ,1,9297,24, ,A1,87-76 108TH   STREET, ,11418,1,0,1,2685,1248,1920,400000,69982
3,OLD MILL BASIN,09 COOPS - WALKUP APARTMENTS               ,2,8400,40, ,C6,"2011 EAST 57TH STREET, 112-D", ,11234,0,0,0,0,0,1955,182000,44347
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4775,134, ,A5,3002 WICKHAM AVENUE, ,10469,1,0,1,1120,1384,1955,238000,18438
4,FOREST HILLS,10 COOPS - ELEVATOR APARTMENTS             ,2,2236,33, ,D4,"72-10 112TH STREET, 4B", ,11375,0,0,0, -  , -  ,1955,380000,60746
1,UPPER WEST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS            ,2,1113,1392, ,R4,1 CENTRAL PARK WEST,24A,10023,1,0,1, -  , -  ,0,10,15566
3,CLINTON HILL,13 CONDOS - ELEVATOR APARTMENTS            ,2,2011,1136, ,R4,500 WAVERLY AVENUE,5H,11238,1,0,1,0,0,2015,179042,33410
3,GRAVESEND,13 CONDOS - ELEVATOR APARTMENTS            ,2,6580,1208, ,R4,1457 WEST 5TH   STREET,2F,11204,1,0,1,0,0,2014,360000,40510
5,PRINCES BAY,01 ONE FAMILY DWELLINGS                    ,1,6699,41, ,A1,10 PRAGUE COURT, ,10309,1,0,1,9434,3910,1992,1070000,81894
3,WILLIAMSBURG-SOUTH,13 CONDOS - ELEVATOR APARTMENTS            ,2,2135,1850, ,R4,429 KENT AVENUE,314,11249,1,0,1,0,0,2009,982611,48861
2,KINGSBRIDGE/JEROME PARK,10 COOPS - ELEVATOR APARTMENTS             ,2,3252,52, ,D4,"3975 SEDGWICK AVENUE, 13E", ,10463,0,0,0,0,0,1968,100,20654
4,RICHMOND HILL,02 TWO FAMILY DWELLINGS                    ,1,9544,28, ,B3,107-42 107TH   STREET, ,11417,2,0,2,2168,1752,1920,635000,70485
4,OAKLAND GARDENS,10 COOPS - ELEVATOR APARTMENTS             ,2,7748,500, ,D4,"212-04 75TH AVENUE, 1-M", ,11364,0,0,0, -  , -  ,1965,170000,68015
4,BELLEROSE,02 TWO FAMILY DWELLINGS                    ,1,8650,27, ,B1,87-62 LITTLE NECK PARKWAY, ,11001,2,0,2,3596,1666,1950,550000,52497
3,SEAGATE,02 TWO FAMILY DWELLINGS                    ,1,6977,30, ,B1,3714 LAUREL AVENUE, ,11224,2,0,2,2600,1739,1940,550000,45782
1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1399,33, ,D4,"160 EAST 65TH STREET, 32F", ,10065,0,0,0, -  , -  ,1968,1250000,12056
4,RICHMOND HILL,02 TWO FAMILY DWELLINGS                    ,1,9523,18, ,B3,104-28 103RD STREET, ,11417,2,0,2,2342,1170,1925,470000,70467
